images,masks
cropped_00000011_0_1920.png,cropped_00000011_0_1920_mask.png
cropped_00000011_2880_480.png,cropped_00000011_2880_480_mask.png
cropped_00000011_960_0.png,cropped_00000011_960_0_mask.png
cropped_00000011_3840_0.png,cropped_00000011_3840_0_mask.png
cropped_00000011_480_480.png,cropped_00000011_480_480_mask.png
cropped_00000011_1440_0.png,cropped_00000011_1440_0_mask.png
cropped_00000011_3840_1920.png,cropped_00000011_3840_1920_mask.png
cropped_00000011_480_2880.png,cropped_00000011_480_2880_mask.png
cropped_00000011_1920_960.png,cropped_00000011_1920_960_mask.png
cropped_00000011_480_0.png,cropped_00000011_480_0_mask.png
cropped_00000011_1920_2400.png,cropped_00000011_1920_2400_mask.png
cropped_00000011_0_2400.png,cropped_00000011_0_2400_mask.png
cropped_00000011_1920_480.png,cropped_00000011_1920_480_mask.png
cropped_00000011_1440_960.png,cropped_00000011_1440_960_mask.png
cropped_00000011_480_1920.png,cropped_00000011_480_1920_mask.png
cropped_00000011_1920_2880.png,cropped_00000011_1920_2880_mask.png
cropped_0014_label_Z4lINfjt_2400_1920.png,cropped_0014_label_Z4lINfjt_2400_1920_mask.png
cropped_0014_label_Z4lINfjt_1440_2880.png,cropped_0014_label_Z4lINfjt_1440_2880_mask.png
cropped_0014_label_Z4lINfjt_3840_960.png,cropped_0014_label_Z4lINfjt_3840_960_mask.png
cropped_0014_label_Z4lINfjt_2880_2880.png,cropped_0014_label_Z4lINfjt_2880_2880_mask.png
cropped_0014_label_Z4lINfjt_2880_960.png,cropped_0014_label_Z4lINfjt_2880_960_mask.png
cropped_0014_label_Z4lINfjt_3360_2400.png,cropped_0014_label_Z4lINfjt_3360_2400_mask.png
cropped_0014_label_Z4lINfjt_2880_1440.png,cropped_0014_label_Z4lINfjt_2880_1440_mask.png
cropped_0014_label_Z4lINfjt_3360_0.png,cropped_0014_label_Z4lINfjt_3360_0_mask.png
cropped_0014_label_Z4lINfjt_480_480.png,cropped_0014_label_Z4lINfjt_480_480_mask.png
cropped_0014_label_Z4lINfjt_1920_1920.png,cropped_0014_label_Z4lINfjt_1920_1920_mask.png
cropped_0014_label_Z4lINfjt_2400_960.png,cropped_0014_label_Z4lINfjt_2400_960_mask.png
cropped_0014_label_Z4lINfjt_2880_480.png,cropped_0014_label_Z4lINfjt_2880_480_mask.png
cropped_0014_label_Z4lINfjt_2880_1920.png,cropped_0014_label_Z4lINfjt_2880_1920_mask.png
