images,masks
cropped_00000041_3840_2880.png,cropped_00000041_3840_2880_mask.png
cropped_00000041_1920_960.png,cropped_00000041_1920_960_mask.png
cropped_00000041_1920_2400.png,cropped_00000041_1920_2400_mask.png
cropped_00000041_2880_480.png,cropped_00000041_2880_480_mask.png
cropped_00000041_480_2400.png,cropped_00000041_480_2400_mask.png
cropped_00000041_2400_2400.png,cropped_00000041_2400_2400_mask.png
cropped_00000041_3360_1920.png,cropped_00000041_3360_1920_mask.png
cropped_00000041_960_960.png,cropped_00000041_960_960_mask.png
cropped_00000041_1440_1920.png,cropped_00000041_1440_1920_mask.png
cropped_00000041_480_1440.png,cropped_00000041_480_1440_mask.png
cropped_00000041_3840_0.png,cropped_00000041_3840_0_mask.png
cropped_00000041_3840_960.png,cropped_00000041_3840_960_mask.png
cropped_00000041_0_1440.png,cropped_00000041_0_1440_mask.png
cropped_00000041_480_960.png,cropped_00000041_480_960_mask.png
cropped_00000041_480_480.png,cropped_00000041_480_480_mask.png
cropped_00000041_1920_1440.png,cropped_00000041_1920_1440_mask.png
cropped_00000041_3360_960.png,cropped_00000041_3360_960_mask.png
cropped_00000041_3360_2880.png,cropped_00000041_3360_2880_mask.png
cropped_00000041_2400_1920.png,cropped_00000041_2400_1920_mask.png
cropped_00000041_0_480.png,cropped_00000041_0_480_mask.png
cropped_00000041_1920_1920.png,cropped_00000041_1920_1920_mask.png
cropped_0010_label_FCjmsocM_3840_2880.png,cropped_0010_label_FCjmsocM_3840_2880_mask.png
cropped_0010_label_FCjmsocM_1440_480.png,cropped_0010_label_FCjmsocM_1440_480_mask.png
cropped_0010_label_FCjmsocM_1440_1920.png,cropped_0010_label_FCjmsocM_1440_1920_mask.png
cropped_0010_label_FCjmsocM_1440_960.png,cropped_0010_label_FCjmsocM_1440_960_mask.png
cropped_0010_label_FCjmsocM_2880_0.png,cropped_0010_label_FCjmsocM_2880_0_mask.png
cropped_0010_label_FCjmsocM_480_480.png,cropped_0010_label_FCjmsocM_480_480_mask.png
cropped_0010_label_FCjmsocM_1920_0.png,cropped_0010_label_FCjmsocM_1920_0_mask.png
cropped_0010_label_FCjmsocM_1920_480.png,cropped_0010_label_FCjmsocM_1920_480_mask.png
cropped_0010_label_FCjmsocM_2880_480.png,cropped_0010_label_FCjmsocM_2880_480_mask.png
cropped_0010_label_FCjmsocM_0_1920.png,cropped_0010_label_FCjmsocM_0_1920_mask.png
cropped_0010_label_FCjmsocM_960_0.png,cropped_0010_label_FCjmsocM_960_0_mask.png
cropped_0010_label_FCjmsocM_0_2880.png,cropped_0010_label_FCjmsocM_0_2880_mask.png
cropped_0010_label_FCjmsocM_480_0.png,cropped_0010_label_FCjmsocM_480_0_mask.png
cropped_0010_label_FCjmsocM_1440_1440.png,cropped_0010_label_FCjmsocM_1440_1440_mask.png
cropped_0010_label_FCjmsocM_3840_480.png,cropped_0010_label_FCjmsocM_3840_480_mask.png
cropped_0010_label_FCjmsocM_2400_0.png,cropped_0010_label_FCjmsocM_2400_0_mask.png
cropped_0010_label_FCjmsocM_0_960.png,cropped_0010_label_FCjmsocM_0_960_mask.png
cropped_0010_label_FCjmsocM_960_480.png,cropped_0010_label_FCjmsocM_960_480_mask.png
cropped_0010_label_FCjmsocM_1920_960.png,cropped_0010_label_FCjmsocM_1920_960_mask.png
cropped_0010_label_FCjmsocM_960_1920.png,cropped_0010_label_FCjmsocM_960_1920_mask.png
cropped_0010_label_FCjmsocM_0_480.png,cropped_0010_label_FCjmsocM_0_480_mask.png
cropped_0010_label_FCjmsocM_3840_1440.png,cropped_0010_label_FCjmsocM_3840_1440_mask.png
cropped_0010_label_FCjmsocM_2400_480.png,cropped_0010_label_FCjmsocM_2400_480_mask.png
cropped_0010_label_FCjmsocM_1440_0.png,cropped_0010_label_FCjmsocM_1440_0_mask.png
